category,questionType,questionText,correctAnswersCount,answer1,answer2,answer3,answer4,correct1,correct2,correct3,correct4
SAP CAP,MultiSelect,What are the CAP performance optimization techniques?,3,Lazy loading,Caching,Indexing,Loading all data,true,true,true,false
SAP CAP,SingleSelect,What is the purpose of extend keyword in CDS?,1,To extend existing definitions,To delete definitions,To hide definitions,To encrypt definitions,true,false,false,false
SAP CAP,SingleSelect,Which annotation defines default values in CAP?,1,@default,@value,@initial,@preset,true,false,false,false
SAP CAP,MultiSelect,What are the CAP logging levels?,3,Error,Warning,Info,Random,true,true,true,false
SAP CAP,SingleSelect,What is @cds.on.insert annotation used for?,1,To define insert event handlers,To delete records,To update records,To read records,true,false,false,false
SAP CAP,SingleSelect,Which CAP feature enables file upload?,1,Stream handling,File manager,Upload service,Storage manager,true,false,false,false
SAP CAP,MultiSelect,What are the CAP service implementation patterns?,2,Custom handlers,Generic handlers,No handlers,Random handlers,true,true,false,false
SAP CAP,SingleSelect,What is the purpose of annotate keyword in CDS?,1,To add annotations to existing definitions,To delete definitions,To hide definitions,To encrypt definitions,true,false,false,false
SAP CAP,SingleSelect,Which annotation enables soft delete in CAP?,1,@cds.soft.delete,@delete.soft,@soft.remove,@gentle.delete,true,false,false,false
SAP CAP,MultiSelect,What are the CAP data validation types?,3,Type validation,Range validation,Pattern validation,No validation,true,true,true,false
SAP CAP,SingleSelect,What is @cds.persistence.table annotation used for?,1,To specify database table name,To delete tables,To hide tables,To encrypt tables,true,false,false,false
SAP CAP,SingleSelect,Which CAP feature enables batch operations?,1,$batch endpoint,Batch service,Multi-operation,Group processing,true,false,false,false
SAP CAP,MultiSelect,What are the CAP security best practices?,3,Input validation,Authentication,Authorization,Open access,true,true,true,false
SAP CAP,SingleSelect,What is the purpose of namespace in CDS?,1,To organize model definitions,To store data,To manage users,To configure network,true,false,false,false
SAP CAP,SingleSelect,Which annotation enables temporal data in CAP?,1,@cds.valid.from,@temporal.data,@time.series,@date.range,true,false,false,false
SAP CAP,MultiSelect,What are the CAP integration options?,3,REST APIs,OData services,Event-driven,No integration,true,true,true,false
SAP CAP,SingleSelect,What is @cds.search annotation used for?,1,To enable full-text search,To hide data,To delete data,To encrypt data,true,false,false,false
SAP CAP,SingleSelect,Which CAP feature enables change tracking?,1,@cds.on.update,Change log,Audit trail,History table,true,false,false,false
SAP CAP,MultiSelect,What are the CAP documentation types?,3,API documentation,Model documentation,Service documentation,No documentation,true,true,true,false
SAP CAP,SingleSelect,What is the purpose of view in CDS?,1,To define database views,To display UI,To manage users,To configure network,true,false,false,false
SAP CAP,SingleSelect,Which annotation defines value help in CAP?,1,@Common.ValueList,@ValueHelp,@Lookup,@Reference,true,false,false,false
SAP CAP,MultiSelect,What are the CAP migration strategies?,2,Blue-green deployment,Rolling updates,Big bang,No migration,true,true,false,false
SAP CAP,SingleSelect,What is @cds.external annotation used for?,1,To mark external services,To delete services,To hide services,To encrypt services,true,false,false,false
SAP CAP,SingleSelect,Which CAP feature enables API management?,1,SAP API Management integration,Manual API control,No API management,Random API handling,true,false,false,false
SAP CAP,MultiSelect,What are the CAP monitoring capabilities?,3,Application logs,Performance metrics,Error tracking,No monitoring,true,true,true,false
SAP CAP,SingleSelect,What is the purpose of action in CDS?,1,To define custom operations,To delete data,To hide data,To encrypt data,true,false,false,false
SAP CAP,SingleSelect,Which annotation enables currency handling in CAP?,1,@Semantics.currencyCode,@Currency,@Money,@Financial,true,false,false,false
SAP CAP,MultiSelect,What are the CAP versioning strategies?,2,Semantic versioning,API versioning,No versioning,Random versioning,true,true,false,false
SAP CAP,SingleSelect,What is @cds.persistence.exists annotation used for?,1,To check entity existence,To create entities,To delete entities,To update entities,true,false,false,false
SAP CAP,SingleSelect,Which CAP feature enables workflow integration?,1,SAP Workflow service,Manual workflow,No workflow,Random workflow,true,false,false,false
SAP CAP,MultiSelect,What are the CAP code quality tools?,3,ESLint,Prettier,SonarQube,No tools,true,true,true,false
SAP CAP,SingleSelect,What is the purpose of function in CDS?,1,To define reusable functions,To store data,To manage users,To configure network,true,false,false,false
SAP CAP,SingleSelect,Which annotation enables unit of measure in CAP?,1,@Semantics.unitOfMeasure,@Unit,@Measure,@Quantity,true,false,false,false
SAP CAP,MultiSelect,What are the CAP backup strategies?,2,Database backups,Application backups,No backups,Random backups,true,true,false,false
SAP CAP,SingleSelect,What is @cds.persistence.journal annotation used for?,1,To enable change journaling,To delete records,To hide records,To encrypt records,true,false,false,false
SAP CAP,SingleSelect,Which CAP feature enables machine learning?,1,SAP AI services integration,Manual ML,No ML,Random ML,true,false,false,false
SAP CAP,MultiSelect,What are the CAP scalability features?,3,Horizontal scaling,Vertical scaling,Auto-scaling,No scaling,true,true,true,false
SAP CAP,SingleSelect,What is the purpose of projection in CDS?,1,To create views with selected fields,To delete fields,To hide fields,To encrypt fields,true,false,false,false
SAP CAP,SingleSelect,Which annotation enables semantic key in CAP?,1,@Common.SemanticKey,@Key,@Primary,@Identifier,true,false,false,false
SAP CAP,MultiSelect,What are the CAP disaster recovery options?,2,Backup and restore,Failover,No recovery,Random recovery,true,true,false,false
SAP CAP,SingleSelect,What is @cds.persistence.upsert annotation used for?,1,To enable upsert operations,To delete records,To read records,To hide records,true,false,false,false
SAP CAP,SingleSelect,Which CAP feature enables blockchain integration?,1,SAP Cloud Platform Blockchain,Manual blockchain,No blockchain,Random blockchain,true,false,false,false
SAP CAP,MultiSelect,What are the CAP compliance features?,3,Data privacy,Audit logging,Access control,No compliance,true,true,true,false
SAP CAP,SingleSelect,What is the purpose of service in CDS?,1,To define OData services,To store data,To manage users,To configure network,true,false,false,false
SAP CAP,SingleSelect,Which annotation enables label in CAP?,1,@title,@label,@name,@caption,true,false,false,false
SAP CAP,MultiSelect,What are the CAP cost optimization strategies?,3,Resource optimization,Caching,Efficient queries,Unlimited resources,true,true,true,false
SAP CAP,SingleSelect,What is @cds.persistence.cascade annotation used for?,1,To enable cascade operations,To delete records,To hide records,To encrypt records,true,false,false,false
SAP CAP,SingleSelect,Which CAP feature enables IoT integration?,1,SAP IoT services,Manual IoT,No IoT,Random IoT,true,false,false,false
SAP CAP,MultiSelect,What are the CAP maintenance best practices?,3,Regular updates,Code reviews,Documentation,No maintenance,true,true,true,false
SAP CAP,SingleSelect,What is the purpose of type in CDS?,1,To define custom data types,To store data,To manage users,To configure network,true,false,false,false
SAP CAP,SingleSelect,Which annotation enables description in CAP?,1,@description,@info,@details,@notes,true,false,false,false
SAP CAP,MultiSelect,What are the CAP future trends?,3,AI integration,Serverless,Edge computing,No trends,true,true,true,false
SAP CAP,SingleSelect,What is @cds.persistence.skip.if annotation used for?,1,To conditionally skip persistence,To delete records,To hide records,To encrypt records,true,false,false,false
