category,questionType,questionText,correctAnswersCount,answer1,answer2,answer3,answer4,correct1,correct2,correct3,correct4
SAP Fiori,SingleSelect,What is SAP Fiori Launchpad Content Provider?,1,A service that delivers launchpad content,A database,A server,A network device,true,false,false,false
SAP Fiori,SingleSelect,Which tool is used for Fiori app debugging?,1,Browser Developer Tools,Notepad,Calculator,Paint,true,false,false,false
SAP Fiori,MultiSelect,What are the Fiori app state management approaches?,2,URL parameters,Local storage,Global variables only,No state management,true,true,false,false
SAP Fiori,SingleSelect,What is the role of SAP UI5 Controls in Fiori apps?,1,Providing reusable UI components,Database access,Server management,Network routing,true,false,false,false
SAP Fiori,SingleSelect,Which SAP technology provides search capabilities for Fiori?,1,SAP Enterprise Search,Google Search,Bing Search,Manual search only,true,false,false,false
SAP Fiori,MultiSelect,What are the Fiori app data binding modes?,2,One-way binding,Two-way binding,No binding,Random binding,true,true,false,false
SAP Fiori,SingleSelect,What is SAP Fiori Launchpad Shell?,1,The container for launchpad content,A command line interface,A database shell,A network shell,true,false,false,false
SAP Fiori,SingleSelect,Which technology enables barcode scanning in Fiori apps?,1,Device camera API,Keyboard input,Mouse clicks,Voice commands,true,false,false,false
SAP Fiori,MultiSelect,What are the Fiori app error handling strategies?,3,Try-catch blocks,Error messages,Logging,Ignoring errors,true,true,true,false
SAP Fiori,SingleSelect,What is the purpose of SAP Fiori Launchpad Renderer?,1,To render the launchpad UI,To compile code,To manage databases,To configure networks,true,false,false,false
SAP Fiori,SingleSelect,Which SAP module provides HR functionality for Fiori?,1,SAP SuccessFactors,SAP MM,SAP SD,SAP PP,true,false,false,false
SAP Fiori,MultiSelect,What are the Fiori app caching strategies?,3,Browser cache,Application cache,Service worker cache,No caching,true,true,true,false
SAP Fiori,SingleSelect,What is SAP Fiori Launchpad Personalization Service?,1,A service for storing user preferences,A database,A server,A network service,true,false,false,false
SAP Fiori,SingleSelect,Which technology enables geolocation in Fiori apps?,1,HTML5 Geolocation API,Manual input,IP address lookup,GPS device only,true,false,false,false
SAP Fiori,MultiSelect,What are the Fiori app internationalization features?,3,Multi-language support,Date formatting,Number formatting,English only,true,true,true,false
SAP Fiori,SingleSelect,What is the role of SAP Fiori Launchpad Navigation Service?,1,To handle app navigation,To store data,To manage users,To configure servers,true,false,false,false
SAP Fiori,SingleSelect,Which tool is used for Fiori app version control?,1,Git,Notepad,Calculator,Paint,true,false,false,false
SAP Fiori,MultiSelect,What are the Fiori app responsive design breakpoints?,3,Phone,Tablet,Desktop,Watch,true,true,true,false
SAP Fiori,SingleSelect,What is SAP Fiori Launchpad Cross-App Navigation?,1,Navigation between different Fiori apps,File transfer,Email sending,Network routing,true,false,false,false
SAP Fiori,SingleSelect,Which SAP technology provides machine learning for Fiori?,1,SAP Leonardo,SAP HANA,SAP BW,SAP CRM,true,false,false,false
SAP Fiori,MultiSelect,What are the Fiori app performance metrics?,3,Load time,Response time,Resource usage,Random metrics,true,true,true,false
SAP Fiori,SingleSelect,What is the purpose of SAP Fiori Launchpad Intent-Based Navigation?,1,To navigate using semantic objects and actions,To browse files,To send emails,To configure networks,true,false,false,false
SAP Fiori,SingleSelect,Which technology enables voice commands in Fiori apps?,1,Web Speech API,Keyboard input,Mouse clicks,Touch gestures,true,false,false,false
SAP Fiori,MultiSelect,What are the Fiori app security best practices?,3,Input validation,Secure communication,Access control,Open access,true,true,true,false
SAP Fiori,SingleSelect,What is SAP Fiori Launchpad Tile Actions?,1,Quick actions available on tiles,Database operations,Server commands,Network operations,true,false,false,false
SAP Fiori,SingleSelect,Which SAP product provides IoT integration for Fiori?,1,SAP IoT,SAP HANA,SAP BW,SAP CRM,true,false,false,false
SAP Fiori,MultiSelect,What are the Fiori app documentation types?,3,Technical documentation,User documentation,API documentation,No documentation,true,true,true,false
SAP Fiori,SingleSelect,What is the role of SAP Fiori Launchpad App Descriptor?,1,To define app metadata and configuration,To store data,To manage users,To configure servers,true,false,false,false
SAP Fiori,SingleSelect,Which technology enables augmented reality in Fiori apps?,1,WebXR API,Email,FTP,SMS,true,false,false,false
SAP Fiori,MultiSelect,What are the Fiori app maintenance activities?,3,Bug fixes,Feature updates,Performance optimization,No maintenance,true,true,true,false
SAP Fiori,SingleSelect,What is SAP Fiori Launchpad Dynamic Tiles?,1,Tiles that display real-time data,Static images,Text files,Database tables,true,false,false,false
SAP Fiori,SingleSelect,Which SAP technology provides blockchain integration for Fiori?,1,SAP Cloud Platform Blockchain,SAP HANA,SAP BW,SAP CRM,true,false,false,false
SAP Fiori,MultiSelect,What are the Fiori app quality assurance practices?,3,Code reviews,Testing,Documentation,No quality checks,true,true,true,false
SAP Fiori,SingleSelect,What is the purpose of SAP Fiori Launchpad App Variants?,1,To create customized versions of apps,To delete apps,To rename files,To configure networks,true,false,false,false
